"","date","total_stake","unbonded_amount"
"99",2020-09-24,615937911.708016,68010.4889957578
"100",2020-09-25,617548286.81658,1785087.67127708
"101",2020-09-26,615876433.428648,29436.906092251
"102",2020-09-27,619090373.805608,283567.541125405
"103",2020-09-28,618389012.984426,1341836.9773328
"104",2020-09-29,620872076.209651,420132.142396001
"105",2020-09-30,626713551.537613,121612.144759332
"106",2020-10-01,628055676.448465,106848.555833239
"107",2020-10-02,628155926.212644,72441.4546952256
"108",2020-10-03,628469236.775581,714873.523806651
"109",2020-10-04,628801802.868778,80485.588956882
"110",2020-10-05,628900122.042601,105891.803809738
"111",2020-10-06,629723149.601107,177852.793000596
"112",2020-10-07,632021689.887112,50490.4136682304
"113",2020-10-08,632410862.425677,265407.232518691
"114",2020-10-09,633435598.250976,30835.6592951733
"115",2020-10-10,640087242.199139,124963.321268311
"116",2020-10-11,641981256.590733,128397.453451286
"117",2020-10-12,642853910.365883,42410.308725146
"118",2020-10-13,643869530.691551,158794.701282859
"119",2020-10-14,644332520.860235,182912.982402301
"120",2020-10-15,644375916.52303,37849.5711007173
"121",2020-10-16,645292755.296697,82778.4921976748
"122",2020-10-17,644617328.384014,530130.547196935
"123",2020-10-18,646128943.253448,64483.877706536
"124",2020-10-19,646730043.786667,28032.5361102822
"125",2020-10-20,647179644.21724,179801.190861497
"126",2020-10-21,648329409.308177,86173.5163377535
"127",2020-10-22,657266362.431847,207866.897964631
"128",2020-10-23,659365779.049382,219051.345312777
"129",2020-10-24,664423974.02225,104934.686761295
"130",2020-10-25,662885970.335726,483547.628590617
"131",2020-10-26,662927272.952833,137068.986458005
"132",2020-10-27,664043885.884813,167718.479587577
"133",2020-10-28,667581920.153979,481822.523750179
"134",2020-10-29,668087167.699071,580395.227949002
"135",2020-10-30,669067592.793938,39043.2213834543
"136",2020-10-31,669423032.801303,252121.403253793
"137",2020-11-01,669736260.768872,51603.7261645915
"138",2020-11-02,669876682.738693,82166.9206281248
"139",2020-11-03,670203893.714126,126211.86226388
"140",2020-11-04,671076433.808381,62206.6246712056
"141",2020-11-05,672351047.075848,586034.761015104
"142",2020-11-06,674317166.924145,556254.677319212
"143",2020-11-07,674655941.030845,306953.960415495
"144",2020-11-08,674578651.74844,83033.4462564932
"145",2020-11-09,674205098.028295,629306.722605512
"146",2020-11-10,675042877.555007,99452.0849174595
"147",2020-11-11,677137491.491917,57432.6910653636
"148",2020-11-12,677767404.249817,159291.072444564
"149",2020-11-13,678893538.659303,88832.5383683266
"150",2020-11-14,670697478.282272,8704586.14790995
"151",2020-11-15,670682082.959495,38475.6434343039
"152",2020-11-16,670753129.361625,194478.736162977
